neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
Brooklyn,Bedford-Stuyvesant,Entire home/apt,113,3,6
Manhattan,Harlem,Entire home/apt,200,2,6
Manhattan,East Village,Entire home/apt,150,10,5
Manhattan,Greenwich Village,Entire home/apt,350,3,1
Manhattan,SoHo,Entire home/apt,800,2,0
Queens,Jamaica,Private room,159,1,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,75,2,2
Manhattan,Midtown,Entire home/apt,140,3,1
Manhattan,Harlem,Private room,55,2,3
Manhattan,East Village,Private room,80,90,0
Brooklyn,Bedford-Stuyvesant,Private room,54,2,14
Brooklyn,Greenpoint,Entire home/apt,350,3,15
Queens,Ditmars Steinway,Private room,70,1,5
Brooklyn,Gravesend,Shared room,25,7,1
Brooklyn,Clinton Hill,Entire home/apt,155,2,114
Manhattan,Kips Bay,Private room,115,1,19
Brooklyn,Williamsburg,Private room,90,1,5
Brooklyn,East New York,Private room,50,1,35
Manhattan,Little Italy,Entire home/apt,220,2,119
Manhattan,Hell's Kitchen,Entire home/apt,190,2,4
Brooklyn,Bedford-Stuyvesant,Private room,49,1,113
Brooklyn,Crown Heights,Private room,57,1,4
Manhattan,East Village,Private room,49,4,2
Manhattan,SoHo,Entire home/apt,900,3,10
Manhattan,Flatiron District,Entire home/apt,1500,3,5
Manhattan,Financial District,Entire home/apt,150,2,52
Manhattan,Chelsea,Private room,69,1,63
Manhattan,Upper East Side,Entire home/apt,110,3,8
Brooklyn,Flatbush,Entire home/apt,115,30,4
Queens,Jamaica Estates,Private room,750,1,0
Brooklyn,Williamsburg,Private room,95,2,7
Brooklyn,East Flatbush,Private room,80,1,71
Manhattan,Hell's Kitchen,Entire home/apt,198,3,15
Manhattan,East Village,Private room,95,7,25
Brooklyn,Bushwick,Entire home/apt,136,3,10
Manhattan,East Village,Private room,180,1,0
Queens,Astoria,Entire home/apt,130,3,50
Manhattan,Chelsea,Entire home/apt,195,1,6
Brooklyn,Williamsburg,Private room,60,1,1
Manhattan,East Harlem,Entire home/apt,185,1,5
Queens,Ditmars Steinway,Entire home/apt,80,7,15
Manhattan,Upper East Side,Private room,80,1,1
Manhattan,East Village,Entire home/apt,175,5,0
Manhattan,Hell's Kitchen,Private room,62,7,9
Queens,Far Rockaway,Entire home/apt,250,2,22
Manhattan,Midtown,Entire home/apt,275,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,94,2,37
Manhattan,East Village,Entire home/apt,136,2,6
Manhattan,East Village,Private room,95,2,4
Brooklyn,Williamsburg,Private room,69,2,61
Brooklyn,Bedford-Stuyvesant,Private room,42,7,0
Manhattan,East Village,Entire home/apt,320,3,3
Brooklyn,Bedford-Stuyvesant,Private room,62,2,28
Queens,Long Island City,Entire home/apt,90,6,0
Manhattan,East Village,Entire home/apt,190,1,0
Manhattan,Hell's Kitchen,Private room,155,2,3
Brooklyn,Sunset Park,Private room,49,1,67
Manhattan,Washington Heights,Private room,60,1,1
Brooklyn,Williamsburg,Private room,60,2,14
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,3,3
Manhattan,East Village,Entire home/apt,139,30,52
Manhattan,Gramercy,Entire home/apt,350,2,29
Manhattan,East Village,Entire home/apt,290,1,114
Brooklyn,Sunset Park,Private room,45,7,2
Manhattan,Hell's Kitchen,Entire home/apt,125,30,3
Brooklyn,Midwood,Entire home/apt,80,35,0
Brooklyn,Williamsburg,Entire home/apt,149,6,7
Brooklyn,Sheepshead Bay,Shared room,37,30,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,149,2,3
Manhattan,Upper West Side,Private room,112,2,81
Brooklyn,Park Slope,Entire home/apt,175,3,0
Brooklyn,Sheepshead Bay,Shared room,40,3,1
Manhattan,Flatiron District,Entire home/apt,221,5,7
Brooklyn,Williamsburg,Entire home/apt,300,3,0
Queens,Jamaica,Private room,75,2,0
Manhattan,Financial District,Entire home/apt,195,2,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,11
Manhattan,Upper West Side,Entire home/apt,260,1,0
Manhattan,Lower East Side,Private room,150,2,1
Manhattan,Upper East Side,Entire home/apt,287,31,6
Brooklyn,Williamsburg,Entire home/apt,172,3,32
Brooklyn,Bushwick,Private room,47,4,1
Manhattan,Upper West Side,Private room,89,5,55
Brooklyn,Williamsburg,Entire home/apt,160,7,3
Brooklyn,Fort Greene,Private room,48,30,0
Manhattan,Harlem,Private room,205,2,3
Manhattan,East Village,Entire home/apt,300,2,1
Brooklyn,Clinton Hill,Entire home/apt,115,10,0
Manhattan,West Village,Entire home/apt,700,5,1
Manhattan,Upper East Side,Entire home/apt,130,3,2
Manhattan,Upper East Side,Private room,42,3,7
Manhattan,SoHo,Private room,80,3,51
Brooklyn,Williamsburg,Entire home/apt,78,10,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,30,1
Manhattan,Harlem,Private room,120,7,0
Brooklyn,Williamsburg,Private room,55,2,18
Brooklyn,Greenpoint,Entire home/apt,225,2,37
Brooklyn,Williamsburg,Private room,100,5,0
Manhattan,Upper West Side,Entire home/apt,244,30,1
Manhattan,East Village,Private room,75,26,58
Queens,Forest Hills,Entire home/apt,99,1,143
Queens,Jackson Heights,Private room,70,3,1
Manhattan,Greenwich Village,Entire home/apt,200,4,11
Manhattan,East Village,Entire home/apt,150,3,107
Brooklyn,South Slope,Private room,89,1,49
Manhattan,Upper East Side,Entire home/apt,225,2,12
Brooklyn,Brooklyn Heights,Private room,120,1,4
Queens,Astoria,Entire home/apt,150,7,12
Brooklyn,Crown Heights,Entire home/apt,105,4,13
Manhattan,Upper West Side,Entire home/apt,250,1,3
Manhattan,Chelsea,Entire home/apt,275,3,63
Queens,Ozone Park,Private room,100,1,0
Manhattan,Greenwich Village,Private room,100,1,0
Manhattan,Hell's Kitchen,Entire home/apt,200,5,46
Brooklyn,Williamsburg,Entire home/apt,160,3,25
Brooklyn,Bushwick,Private room,90,2,12
Manhattan,East Village,Entire home/apt,120,365,4
Queens,Maspeth,Entire home/apt,200,4,24
Manhattan,Harlem,Private room,45,5,17
Manhattan,Chelsea,Private room,999,30,0
Brooklyn,Bushwick,Private room,125,2,0
Brooklyn,Bedford-Stuyvesant,Private room,60,3,1
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,120,2,15
Brooklyn,Crown Heights,Private room,41,1,0
Manhattan,East Village,Entire home/apt,285,30,0
Queens,South Ozone Park,Shared room,30,4,1
Manhattan,Upper West Side,Entire home/apt,125,1,0
Brooklyn,Fort Greene,Private room,70,14,18
Manhattan,Murray Hill,Entire home/apt,300,3,0
Brooklyn,Cypress Hills,Private room,85,1,17
Manhattan,Tribeca,Entire home/apt,349,3,0
Queens,Forest Hills,Private room,125,2,3
Manhattan,Financial District,Entire home/apt,300,30,0
Manhattan,Hell's Kitchen,Private room,99,3,49
Manhattan,Hell's Kitchen,Entire home/apt,250,2,1
Manhattan,Hell's Kitchen,Private room,75,7,3
Queens,Sunnyside,Entire home/apt,100,30,3
Staten Island,Stapleton,Entire home/apt,75,2,103
Brooklyn,Williamsburg,Entire home/apt,95,8,6
Queens,Ridgewood,Private room,65,2,7
Manhattan,Harlem,Private room,110,3,76
Brooklyn,Boerum Hill,Entire home/apt,158,3,12
Staten Island,Tompkinsville,Entire home/apt,99,7,35
Queens,Ditmars Steinway,Entire home/apt,110,3,68
Queens,Long Island City,Private room,120,1,63
Queens,Kew Gardens,Private room,150,1,0
Manhattan,Midtown,Entire home/apt,175,1,2
Brooklyn,Fort Greene,Private room,65,2,206
Queens,Astoria,Private room,100,2,0
Manhattan,Hell's Kitchen,Entire home/apt,198,9,2
Brooklyn,Bushwick,Private room,59,5,26
Manhattan,Midtown,Private room,90,1,3
Manhattan,Midtown,Private room,100,1,12
Brooklyn,South Slope,Entire home/apt,100,1,183
Manhattan,Harlem,Private room,50,2,13
Bronx,Clason Point,Private room,48,2,33
Brooklyn,Bushwick,Private room,60,1,1
Manhattan,Chelsea,Private room,159,1,0
Brooklyn,Bushwick,Entire home/apt,155,30,0
Manhattan,Upper West Side,Private room,85,2,113
Manhattan,Upper West Side,Entire home/apt,75,1,2
Brooklyn,Williamsburg,Private room,78,2,1
Brooklyn,Greenpoint,Entire home/apt,225,5,0
Manhattan,Hell's Kitchen,Entire home/apt,180,3,2
Manhattan,East Harlem,Private room,50,1,4
Manhattan,Upper West Side,Entire home/apt,481,30,0
Manhattan,Morningside Heights,Private room,70,2,200
Brooklyn,Crown Heights,Entire home/apt,180,3,1
Brooklyn,Prospect-Lefferts Gardens,Private room,65,20,3
Manhattan,Hell's Kitchen,Private room,99,1,134
Manhattan,Upper East Side,Private room,75,1,6
Brooklyn,South Slope,Entire home/apt,260,2,6
Brooklyn,Clinton Hill,Entire home/apt,114,12,27
Brooklyn,East New York,Entire home/apt,60,3,1
Queens,Forest Hills,Entire home/apt,100,1,1
Queens,Corona,Private room,36,1,5
Manhattan,Upper West Side,Entire home/apt,230,6,1
Manhattan,East Village,Entire home/apt,250,2,1
Manhattan,Chinatown,Entire home/apt,175,2,10
Brooklyn,Greenpoint,Private room,59,20,7
Manhattan,Theater District,Private room,100,1,1
Brooklyn,East Flatbush,Private room,39,3,2
Brooklyn,Bedford-Stuyvesant,Private room,55,2,5
Manhattan,Upper West Side,Entire home/apt,136,30,0
Manhattan,Inwood,Private room,90,3,2
Manhattan,East Harlem,Entire home/apt,200,2,39
Manhattan,Hell's Kitchen,Entire home/apt,140,5,5
Brooklyn,Red Hook,Private room,125,7,1
Manhattan,Washington Heights,Private room,50,2,8
Manhattan,Lower East Side,Entire home/apt,170,30,0
Manhattan,Midtown,Entire home/apt,153,1,7
Manhattan,Chinatown,Entire home/apt,135,3,9
Queens,Jackson Heights,Entire home/apt,86,1,1
Brooklyn,Williamsburg,Private room,95,1,10
Brooklyn,Bushwick,Private room,40,5,1
Manhattan,Lower East Side,Entire home/apt,325,4,4
Manhattan,East Village,Private room,68,1,31
Manhattan,Chinatown,Entire home/apt,150,1,23
Queens,Flushing,Private room,90,1,68
Manhattan,Washington Heights,Private room,90,1,32
Manhattan,Midtown,Entire home/apt,239,4,4
Brooklyn,Williamsburg,Private room,100,1,4
Manhattan,Harlem,Entire home/apt,75,1,1
Manhattan,East Village,Private room,115,1,20
Queens,Sunnyside,Shared room,30,1,41
Brooklyn,Prospect-Lefferts Gardens,Private room,69,2,1
Manhattan,East Village,Private room,65,7,9
Manhattan,Financial District,Entire home/apt,165,29,0
Brooklyn,Williamsburg,Entire home/apt,107,4,17
Manhattan,Upper East Side,Entire home/apt,150,2,1
Manhattan,Hell's Kitchen,Entire home/apt,225,30,0
Brooklyn,Sunset Park,Entire home/apt,172,1,34
Manhattan,Hell's Kitchen,Entire home/apt,199,2,137
Manhattan,Chelsea,Entire home/apt,154,30,0
Queens,Long Island City,Private room,375,2,0
Manhattan,East Village,Entire home/apt,117,5,6
Queens,Forest Hills,Entire home/apt,123,1,0
Manhattan,Two Bridges,Private room,50,7,3
Brooklyn,Williamsburg,Entire home/apt,285,7,0
Manhattan,Financial District,Private room,100,1,0
Brooklyn,Crown Heights,Shared room,25,2,1
Manhattan,Upper West Side,Entire home/apt,299,3,29
Brooklyn,East Flatbush,Private room,175,2,6
Queens,Jamaica,Private room,33,1,7
Staten Island,Prince's Bay,Entire home/apt,1250,14,0
Queens,Ditmars Steinway,Entire home/apt,47,11,27
Manhattan,Upper East Side,Entire home/apt,100,5,0
Manhattan,Harlem,Private room,39,1,0
Brooklyn,Dyker Heights,Private room,43,1,30
Manhattan,Hell's Kitchen,Entire home/apt,275,4,2
Brooklyn,Brooklyn Heights,Entire home/apt,300,2,8
Manhattan,East Village,Entire home/apt,150,4,0
Brooklyn,Crown Heights,Entire home/apt,88,2,14
Queens,Ditmars Steinway,Entire home/apt,75,28,49
Brooklyn,Sunset Park,Private room,44,1,8
Bronx,Claremont Village,Private room,125,2,0
Queens,East Elmhurst,Private room,70,1,8
Manhattan,Inwood,Private room,34,1,15
Brooklyn,Bedford-Stuyvesant,Entire home/apt,80,3,234
Brooklyn,East Flatbush,Entire home/apt,57,1,6
Manhattan,Hell's Kitchen,Entire home/apt,305,1,2
Brooklyn,Fort Greene,Entire home/apt,150,3,10
Brooklyn,Brooklyn Heights,Entire home/apt,200,3,7
Manhattan,Chelsea,Entire home/apt,299,3,0
Brooklyn,South Slope,Private room,65,1,0
